S. No.,Name of State / UT,Cases,cures,deaths,Lon,Lat
0,Delhi,4,0,0,77.21689000000003,28.634100000000053
1,Haryana,14,0,0,76.34013666700008,29.196462269000047
2,Jammu and Kashmir,1,0,0,76.66667000000007,33.916670000000074
3,Karnataka,1,0,0,76.17046875100006,14.705918941000053
4,Kerala,9,0,0,76.40890740100008,10.447255029000075
5,Ladakh,2,0,0,92.67517000000004,11.700650000000053
6,Maharashtra,2,0,0,73.01582000000008,19.03681000000006
7,Punjab,1,0,0,75.41747872800005,30.843241599000066
8,Rajasthan,2,0,0,73.84574434400008,26.58650276900005
9,Tamil Nadu,1,0,0,78.40968773700007,11.013245508000068
10,Telengana,1,0,0,79.50000000000007,18.00000000000005
11,Uttar Pradesh,9,0,0,80.56363843900004,26.92872763600008
