S. No.,Name of State / UT,Cases,Cured/Discharged,Death,Lon,Lat
0,Andhra Pradesh,1,0,0,79.95790645500007,15.75458548900002
1,Delhi,7,2,1,77.21689000000003,28.634100000000053
2,Haryana,14,0,0,76.34013666700008,29.196462269000047
3,Jammu and Kashmir,3,0,0,76.66667000000007,33.916670000000074
4,Karnataka,6,0,1,76.17046875100006,14.705918941000053
5,Kerala,23,3,0,76.40890740100008,10.447255029000075
6,Ladakh,4,0,0,92.67517000000004,11.700650000000053
7,Maharashtra,32,0,0,73.01582000000008,19.03681000000006
8,Odisha,1,0,0,85.00127000000003,20.926660000000027
9,Punjab,1,0,0,75.41747872800005,30.843241599000066
10,Rajasthan,4,3,0,73.84574434400008,26.58650276900005
11,Tamil Nadu,1,0,0,78.40968773700007,11.013245508000068
12,Telengana,3,1,0,79.50000000000007,18.00000000000005
13,Uttar Pradesh,13,4,0,80.56363843900004,26.92872763600008
14,Uttarakhand,1,0,0,79.20756427700006,30.15483757800007
