S. No.,Name of State / UT,Cases,Cured/Discharged/Migrated,Death,Lon,Lat
0,Andaman and Nicobar Islands,1,0,0,92.78097500000008,12.472918209000056
1,Andhra Pradesh,12,1,0,79.95790645500007,15.75458548900002
2,Bihar,6,0,1,85.48728000000007,25.151460000000053
3,Chandigarh,7,0,0,76.78943000000005,30.703410000000076
4,Chhattisgarh,6,0,0,82.04162098600005,21.26514922900003
5,Delhi,36,6,1,77.21689000000003,28.634100000000053
6,Goa,3,0,0,74.05421645600006,15.362577956000054
7,Gujarat,43,0,3,71.57700007100006,22.695458108000025
8,Haryana,30,11,0,76.34013666700008,29.196462269000047
9,Himachal Pradesh,3,0,1,77.25004871100003,31.923656801000053
10,Jammu and Kashmir,13,1,1,76.31064826000005,34.64385349400004
11,Karnataka,55,3,2,76.17046875100006,14.705918941000053
12,Kerala,137,11,0,76.40890740100008,10.447255029000075
13,Ladakh,13,3,0,77.50000000000007,34.50000000000006
14,Madhya Pradesh,20,0,1,78.29753797900008,23.54296354600007
15,Maharashtra,130,15,4,73.01582000000008,19.03681000000006
16,Manipur,1,0,0,93.88394238100004,24.731636645000037
17,Mizoram,1,0,0,92.82891654000008,23.307804221000023
18,Odisha,2,0,0,85.00127000000003,20.926660000000027
19,Puducherry,1,0,0,79.82470000000006,11.92993000000007
20,Punjab,33,0,1,75.41747872800005,30.843241599000066
21,Rajasthan,41,3,0,73.84574434400008,26.58650276900005
22,Tamil Nadu,29,1,1,78.40968773700007,11.013245508000068
23,Telengana,45,1,0,79.50000000000007,18.00000000000005
24,Uttar Pradesh,41,11,0,80.56363843900004,26.92872763600008
25,Uttarakhand,5,0,0,79.20756427700006,30.15483757800007
26,West Bengal,10,0,1,87.98640577100008,23.79776012600007
