sno.,place,case,recovery,death,lon,lat
0,Andaman and Nicobar Islands,10,1,0,92.78097500000008,12.472918209000056
1,Andhra Pradesh,83,0,0,79.95790576800005,15.754585607000024
2,Assam,1,0,0,92.83015209500007,26.32614358500007
3,Bihar,23,0,1,85.48728000000007,25.151460000000053
4,Chandigarh,16,0,0,76.78943000000005,30.703410000000076
5,Chhattisgarh,9,2,0,82.04162083700004,21.265149260000047
6,Delhi,152,6,2,77.21689000000003,28.634100000000053
7,Goa,5,0,0,74.05421646500008,15.362577927000075
8,Gujarat,82,5,6,71.57702777600008,22.69541210300003
9,Haryana,43,21,0,76.34013631800008,29.19646195900003
10,Himachal Pradesh,3,0,1,77.25004871100003,31.923656800000053
11,Jammu and Kashmir,62,2,2,76.31064825900006,34.64385349200006
12,Jharkhand,1,0,0,85.55996217400008,23.65396590300003
13,Karnataka,101,8,3,76.17046946700003,14.705918599000027
14,Kerala,241,23,2,76.40890634100003,10.447255617000053
15,Ladakh,13,3,0,77.50000000000007,34.50000000000006
16,Madhya Pradesh,66,0,3,78.29754465700006,23.543002144000074
17,Maharashtra,302,39,9,73.01582000000008,19.03681000000006
18,Manipur,1,0,0,93.88394228400006,24.731636637000065
19,Mizoram,1,0,0,92.82891654100008,23.307804220000037
20,Odisha,4,0,0,85.00127000000003,20.926660000000027
21,Puducherry,3,1,0,79.82470000000006,11.92993000000007
22,Punjab,42,1,3,75.41747895900005,30.843241601000045
23,Rajasthan,93,3,0,73.84574451200007,26.58650209000007
24,Tamil Nadu,234,6,1,78.40968946000005,11.013249830000065
25,Telengana,96,1,3,79.50000000000007,18.00000000000005
26,Uttar Pradesh,103,14,2,80.56369184900007,26.92876647400004
27,Uttarakhand,7,2,0,79.20756428100003,30.15483757800007
28,West Bengal,37,6,3,87.98640557800007,23.79775953100005
