S. No.,Name of State / UT,Total Confirmed cases (Including 65 foreign Nationals),Cured/Discharged/Migrated,Death,Lon,Lat
0,Andaman and Nicobar Islands,10,0,0,92.78097500000008,12.472918209000056
1,Andhra Pradesh,190,1,1,79.95790576800005,15.754585607000024
2,Arunachal Pradesh,1,0,0,94.66035909400006,28.033781652000073
3,Assam,26,0,0,92.83015209500007,26.32614358500007
4,Bihar,30,0,1,85.48728000000007,25.151460000000053
5,Chandigarh,18,0,0,76.78943000000005,30.703410000000076
6,Chhattisgarh,9,3,0,82.04162083700004,21.265149260000047
7,Delhi,503,18,7,77.21689000000003,28.634100000000053
8,Goa,7,0,0,74.05421646500008,15.362577927000075
9,Gujarat,122,18,11,71.57702777600008,22.69541210300003
10,Haryana,59,25,1,76.34013631800008,29.19646195900003
11,Himachal Pradesh,6,1,1,77.25004871100003,31.923656800000053
12,Jammu and Kashmir,106,4,2,76.31064825900006,34.64385349200006
13,Jharkhand,3,0,0,85.55996217400008,23.65396590300003
14,Karnataka,144,12,4,76.17046946700003,14.705918599000027
15,Kerala,306,49,2,76.40890634100003,10.447255617000053
16,Ladakh,14,10,0,77.50000000000007,34.50000000000006
17,Madhya Pradesh,165,0,9,78.29754465700006,23.543002144000074
18,Maharashtra,490,42,24,73.01582000000008,19.03681000000006
19,Manipur,2,0,0,93.88394228400006,24.731636637000065
20,Mizoram,1,0,0,92.82891654100008,23.307804220000037
21,Odisha,20,0,0,85.00127000000003,20.926660000000027
22,Puducherry,5,1,0,79.82470000000006,11.92993000000007
23,Punjab,57,1,5,75.41747895900005,30.843241601000045
24,Rajasthan,200,21,0,73.84574451200007,26.58650209000007
25,Tamil Nadu,485,6,3,78.40968946000005,11.013249830000065
26,Telengana,269,32,7,79.50000000000007,18.00000000000005
27,Uttar Pradesh,227,19,2,80.56369184900007,26.92876647400004
28,Uttarakhand,22,2,0,79.20756428100003,30.15483757800007
29,West Bengal,80,10,3,87.98640557800007,23.79775953100005
