sno.,place,case,recovery,death,lon,lat,day
1,Andaman and Nicobar Islands,33,32,0,92.78097500000008,12.472918209000056,2020-05-04
2,Andhra Pradesh,1650,524,36,79.95790576800005,15.754585607000024,2020-05-04
3,Arunachal Pradesh,1,1,0,94.66035909400006,28.033781652000073,2020-05-04
4,Assam,43,32,1,92.83015209500007,26.32614358500007,2020-05-04
5,Bihar,517,125,4,85.48728000000007,25.151460000000046,2020-05-04
6,Chandigarh,94,19,0,76.78943000000005,30.703410000000076,2020-05-04
7,Chhattisgarh,57,36,0,82.04162083700004,21.265149260000047,2020-05-04
8,Delhi,4549,1362,64,77.21689000000003,28.634100000000053,2020-05-04
9,Goa,7,7,0,74.05421646500008,15.362577927000075,2020-05-04
10,Gujarat,5428,1042,290,71.57702777600008,22.695412103000027,2020-05-04
11,Haryana,442,245,5,76.34013631800008,29.19646195900003,2020-05-04
12,Himachal Pradesh,40,34,1,77.25004871100003,31.923656800000057,2020-05-04
13,Jammu and Kashmir,701,287,8,76.31064825900006,34.64385349200006,2020-05-04
14,Jharkhand,115,22,3,85.55996217400008,23.65396590300003,2020-05-04
15,Karnataka,642,304,26,76.17046946700003,14.705918599000027,2020-05-04
16,Kerala,500,401,4,76.40890634100003,10.447255617000053,2020-05-04
17,Ladakh,41,17,0,77.50000000000007,34.50000000000006,2020-05-04
18,Madhya Pradesh,2942,798,165,78.29754465700006,23.543002144000074,2020-05-04
19,Maharashtra,12974,2115,548,73.01582000000008,19.03681000000006,2020-05-04
20,Manipur,2,2,0,93.88394228400006,24.731636637000065,2020-05-04
21,Meghalaya,12,0,1,91.27961259500006,25.536524185000076,2020-05-04
22,Mizoram,1,0,0,92.82891654100008,23.307804220000037,2020-05-04
23,Odisha,163,60,1,85.00127000000003,20.926660000000027,2020-05-04
24,Puducherry,8,5,0,79.82470000000006,11.92993000000007,2020-05-04
25,Punjab,1102,117,21,75.41747895900005,30.843241601000045,2020-05-04
26,Rajasthan,2886,1356,71,73.84574451200007,26.58650209000007,2020-05-04
27,Tamil Nadu,3023,1379,30,78.40968946000005,11.013249830000065,2020-05-04
28,Telengana,1082,490,29,79.50000000000007,18.000000000000053,2020-05-04
29,Tripura,16,2,0,91.74011046400005,23.74652194700008,2020-05-04
31,Uttar Pradesh,2742,758,45,80.56369184900007,26.92876647400004,2020-05-04
30,Uttarakhand,60,39,1,79.20756428100003,30.15483757800007,2020-05-04
32,West Bengal,963,151,35,87.98640557800007,23.79775953100005,2020-05-04
