sno.,place,case,recovery,death,lon,lat,day
0,Delhi,4,0,0.0,77.21689000000003,28.634100000000053,2020-03-10
1,Haryana,14,0,0.0,76.34013666700008,29.196462269000047,2020-03-10
2,Jammu and Kashmir,1,0,0.0,76.66667000000007,33.916670000000074,2020-03-10
3,Karnataka,1,0,0.0,76.17046875100006,14.705918941000053,2020-03-10
4,Kerala,9,0,0.0,76.40890740100008,10.447255029000075,2020-03-10
5,Ladakh,2,0,0.0,92.67517000000004,11.700650000000053,2020-03-10
6,Maharashtra,2,0,0.0,73.01582000000008,19.03681000000006,2020-03-10
7,Punjab,1,0,0.0,75.41747872800005,30.843241599000066,2020-03-10
8,Rajasthan,2,0,0.0,73.84574434400008,26.58650276900005,2020-03-10
9,Tamil Nadu,1,0,0.0,78.40968773700007,11.013245508000068,2020-03-10
10,Telengana,1,0,0.0,79.50000000000007,18.00000000000005,2020-03-10
11,Uttar Pradesh,9,0,0.0,80.56363843900004,26.92872763600008,2020-03-10
0,Delhi,5,0,0.0,77.21689000000003,28.634100000000053,2020-03-11
1,Haryana,14,0,0.0,76.34013666700008,29.196462269000047,2020-03-11
2,Jammu and Kashmir,1,0,0.0,76.66667000000007,33.916670000000074,2020-03-11
3,Karnataka,4,0,0.0,76.17046875100006,14.705918941000053,2020-03-11
4,Kerala,17,0,0.0,76.40890740100008,10.447255029000075,2020-03-11
5,Ladakh,2,0,0.0,92.67517000000004,11.700650000000053,2020-03-11
6,Maharashtra,2,0,0.0,73.01582000000008,19.03681000000006,2020-03-11
7,Punjab,1,0,0.0,75.41747872800005,30.843241599000066,2020-03-11
8,Rajasthan,3,0,0.0,73.84574434400008,26.58650276900005,2020-03-11
9,Tamil Nadu,1,0,0.0,78.40968773700007,11.013245508000068,2020-03-11
10,Telengana,1,0,0.0,79.50000000000007,18.00000000000005,2020-03-11
11,Uttar Pradesh,9,0,0.0,80.56363843900004,26.92872763600008,2020-03-11
0,Andhra Pradesh,1,0,0.0,79.95790645500007,15.75458548900002,2020-03-12
1,Delhi,6,0,0.0,77.21689000000003,28.634100000000053,2020-03-12
2,Haryana,14,0,0.0,76.34013666700008,29.196462269000047,2020-03-12
3,Jammu and Kashmir,1,0,0.0,76.66667000000007,33.916670000000074,2020-03-12
4,Karnataka,4,0,0.0,76.17046875100006,14.705918941000053,2020-03-12
5,Kerala,17,0,0.0,76.40890740100008,10.447255029000075,2020-03-12
6,Ladakh,3,0,0.0,92.67517000000004,11.700650000000053,2020-03-12
7,Maharashtra,11,0,0.0,73.01582000000008,19.03681000000006,2020-03-12
8,Punjab,1,0,0.0,75.41747872800005,30.843241599000066,2020-03-12
9,Rajasthan,3,0,0.0,73.84574434400008,26.58650276900005,2020-03-12
10,Tamil Nadu,1,0,0.0,78.40968773700007,11.013245508000068,2020-03-12
11,Telengana,1,0,0.0,79.50000000000007,18.00000000000005,2020-03-12
12,Uttar Pradesh,11,0,0.0,80.56363843900004,26.92872763600008,2020-03-12
0,Andhra Pradesh,1,0,0.0,79.95790645500007,15.75458548900002,2020-03-13
1,Delhi,7,1,1.0,77.21689000000003,28.634100000000053,2020-03-13
2,Haryana,14,0,0.0,76.34013666700008,29.196462269000047,2020-03-13
3,Jammu and Kashmir,1,0,0.0,76.66667000000007,33.916670000000074,2020-03-13
4,Karnataka,6,0,1.0,76.17046875100006,14.705918941000053,2020-03-13
5,Kerala,19,3,0.0,76.40890740100008,10.447255029000075,2020-03-13
6,Ladakh,3,0,0.0,92.67517000000004,11.700650000000053,2020-03-13
7,Maharashtra,14,0,0.0,73.01582000000008,19.03681000000006,2020-03-13
8,Punjab,1,0,0.0,75.41747872800005,30.843241599000066,2020-03-13
9,Rajasthan,3,1,0.0,73.84574434400008,26.58650276900005,2020-03-13
10,Tamil Nadu,1,0,0.0,78.40968773700007,11.013245508000068,2020-03-13
11,Telengana,1,0,0.0,79.50000000000007,18.00000000000005,2020-03-13
12,Uttar Pradesh,11,5,0.0,80.56363843900004,26.92872763600008,2020-03-13
0,Andhra Pradesh,1,0,0.0,79.95790645500007,15.75458548900002,2020-03-14
1,Delhi,7,1,1.0,77.21689000000003,28.634100000000053,2020-03-14
2,Haryana,14,0,0.0,76.34013666700008,29.196462269000047,2020-03-14
3,Jammu and Kashmir,2,0,0.0,76.66667000000007,33.916670000000074,2020-03-14
4,Karnataka,6,0,1.0,76.17046875100006,14.705918941000053,2020-03-14
5,Kerala,19,3,0.0,76.40890740100008,10.447255029000075,2020-03-14
6,Ladakh,3,0,0.0,92.67517000000004,11.700650000000053,2020-03-14
7,Maharashtra,14,0,0.0,73.01582000000008,19.03681000000006,2020-03-14
8,Punjab,1,0,0.0,75.41747872800005,30.843241599000066,2020-03-14
9,Rajasthan,3,1,0.0,73.84574434400008,26.58650276900005,2020-03-14
10,Tamil Nadu,1,0,0.0,78.40968773700007,11.013245508000068,2020-03-14
11,Telengana,1,0,0.0,79.50000000000007,18.00000000000005,2020-03-14
12,Uttar Pradesh,12,5,0.0,80.56363843900004,26.92872763600008,2020-03-14
0,Andhra Pradesh,1,0,0.0,79.95790645500007,15.75458548900002,2020-03-15
1,Delhi,7,2,1.0,77.21689000000003,28.634100000000053,2020-03-15
2,Haryana,14,0,0.0,76.34013666700008,29.196462269000047,2020-03-15
3,Jammu and Kashmir,2,0,0.0,76.66667000000007,33.916670000000074,2020-03-15
4,Karnataka,6,0,1.0,76.17046875100006,14.705918941000053,2020-03-15
5,Kerala,22,3,0.0,76.40890740100008,10.447255029000075,2020-03-15
6,Ladakh,3,0,0.0,92.67517000000004,11.700650000000053,2020-03-15
7,Maharashtra,32,0,0.0,73.01582000000008,19.03681000000006,2020-03-15
8,Punjab,1,0,0.0,75.41747872800005,30.843241599000066,2020-03-15
9,Rajasthan,4,3,0.0,73.84574434400008,26.58650276900005,2020-03-15
10,Tamil Nadu,1,0,0.0,78.40968773700007,11.013245508000068,2020-03-15
11,Telengana,3,1,0.0,79.50000000000007,18.00000000000005,2020-03-15
12,Uttar Pradesh,13,4,0.0,80.56363843900004,26.92872763600008,2020-03-15
13,Uttarakhand,1,0,0.0,79.20756427700006,30.15483757800007,2020-03-15
0,Andhra Pradesh,1,0,0.0,79.95790645500007,15.75458548900002,2020-03-16
1,Delhi,7,2,1.0,77.21689000000003,28.634100000000053,2020-03-16
2,Haryana,14,0,0.0,76.34013666700008,29.196462269000047,2020-03-16
3,Jammu and Kashmir,3,0,0.0,76.66667000000007,33.916670000000074,2020-03-16
4,Karnataka,6,0,1.0,76.17046875100006,14.705918941000053,2020-03-16
5,Kerala,23,3,0.0,76.40890740100008,10.447255029000075,2020-03-16
6,Ladakh,4,0,0.0,92.67517000000004,11.700650000000053,2020-03-16
7,Maharashtra,32,0,0.0,73.01582000000008,19.03681000000006,2020-03-16
8,Odisha,1,0,0.0,85.00127000000003,20.926660000000027,2020-03-16
9,Punjab,1,0,0.0,75.41747872800005,30.843241599000066,2020-03-16
10,Rajasthan,4,3,0.0,73.84574434400008,26.58650276900005,2020-03-16
11,Tamil Nadu,1,0,0.0,78.40968773700007,11.013245508000068,2020-03-16
12,Telengana,3,1,0.0,79.50000000000007,18.00000000000005,2020-03-16
13,Uttar Pradesh,13,4,0.0,80.56363843900004,26.92872763600008,2020-03-16
14,Uttarakhand,1,0,0.0,79.20756427700006,30.15483757800007,2020-03-16
0,Andhra Pradesh,1,0,0.0,79.95790645500007,15.75458548900002,2020-03-17
1,Delhi,8,2,1.0,77.21689000000003,28.634100000000053,2020-03-17
2,Haryana,15,0,0.0,76.34013666700008,29.196462269000047,2020-03-17
3,Jammu and Kashmir,3,0,0.0,76.66667000000007,33.916670000000074,2020-03-17
4,Karnataka,11,0,1.0,76.17046875100006,14.705918941000053,2020-03-17
5,Kerala,26,3,0.0,76.40890740100008,10.447255029000075,2020-03-17
