S. No.,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured,Lat,Lon
1,Delhi,6,0,0,77.21689000000003,28.634100000000046
2,Haryana,0,14,0,76.34013666700008,29.19646226900005
3,Kerala,17,0,3,76.40890740100008,10.447255029000075
4,Rajasthan,1,2,0,73.84574434400008,26.58650276900005
5,Telengana,1,0,0,79.50000000000006,18.000000000000057
6,Uttar Pradesh,10,1,0,80.56363843900004,26.928727636000076
7,Union Territory of Ladakh,3,0,0,92.67517000000004,11.700650000000053
8,Tamil Nadu,1,0,0,78.40968773700007,11.013245508000068
9,Union Territory of Jammu and Kashmir,1,0,0,76.66667000000007,33.91667000000007
10,Punjab,1,0,0,75.41747872800005,30.843241599000066
11,Karnataka,4,0,0,76.17046875100004,14.70591894100005
12,Maharashtra,11,0,0,73.01582000000008,19.03681000000006
13,Andhra Pradesh,1,0,0,79.95790645500006,15.754585489000021
