S. No.,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged,Death,Lat,Lon
1,Andhra Pradesh,1,0,0,0,79.95790645500006,15.754585489000021
2,Delhi,9,1,2,1,77.21689000000003,28.634100000000046
3,Haryana,3,14,0,0,76.34013666700008,29.19646226900005
4,Karnataka,11,0,0,1,76.17046875100004,14.70591894100005
5,Kerala,25,2,3,0,76.40890740100008,10.447255029000075
6,Maharashtra,39,3,0,1,73.01582000000008,19.03681000000006
7,Odisha,1,0,0,0,85.00127000000003,20.926660000000027
8,Pondicherry,1,0,0,0,79.82470000000006,11.92993000000007
9,Punjab,1,0,0,0,75.41747872800005,30.843241599000066
10,Rajasthan,2,2,3,0,73.84574434400008,26.58650276900005
11,Tamil Nadu,1,0,0,0,78.40968773700007,11.013245508000068
12,Telengana,4,2,1,0,79.50000000000006,18.000000000000057
13,Union Territory of Jammu and Kashmir,3,0,0,0,76.66667000000007,33.91667000000007
14,Union Territory of Ladakh,8,0,0,0,92.67517000000004,11.700650000000053
15,Uttar Pradesh,15,1,5,0,80.56363843900004,26.928727636000076
16,Uttarakhand,1,0,0,0,79.20756427700007,30.15483757800007
17,West Bengal,1,0,0,0,87.98640577100008,23.79776012600007
