S. No.,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death,Lon,Lat
1,Andhra Pradesh,8,0,0,0,79.95790645500006,15.754585489000021
2,Bihar,3,0,0,1,85.48728000000006,25.151460000000043
3,Chhattisgarh,1,0,0,0,82.04162098600005,21.26514922900003
4,Delhi,29,1,6,2,77.21689000000003,28.634100000000046
5,Gujarat,32,1,0,1,71.57700007100004,22.695458108000025
6,Haryana,14,14,11,0,76.34013666700008,29.19646226900005
7,Himachal Pradesh,3,0,0,1,77.25004871100003,31.92365680100005
8,Karnataka,37,0,3,1,76.17046875100004,14.70591894100005
9,Kerala,87,8,4,0,76.40890740100008,10.447255029000075
10,Madhya Pradesh,7,0,0,0,78.29753797900008,23.542963546000067
11,Maharashtra,86,3,0,2,73.01582000000008,19.03681000000006
12,Manipur,1,0,0,0,93.88394238100005,24.731636645000037
13,Odisha,2,0,0,0,85.00127000000003,20.926660000000027
14,Puducherry,1,0,0,0,79.82470000000006,11.92993000000007
15,Punjab,29,0,0,1,75.41747872800005,30.843241599000066
16,Rajasthan,30,2,3,0,73.84574434400008,26.58650276900005
17,Tamil Nadu,13,2,1,0,78.40968773700007,11.013245508000068
18,Telengana,25,10,1,0,79.50000000000006,18.000000000000057
19,Chandigarh,7,0,0,0,76.78943000000004,30.703410000000076
20,Jammu and Kashmir,4,0,0,0,76.31064826000005,34.64385349400004
21,Ladakh,13,0,0,0,77.50000000000006,34.50000000000006
22,Uttar Pradesh,32,1,11,0,80.56363843900004,26.928727636000076
23,Uttarakhand,3,1,0,0,79.20756427700007,30.15483757800007
24,West Bengal,9,0,0,1,87.98640577100008,23.79776012600007
