S. No.,Name of State / UT,Total Confirmed cases (Including 76 foreign Nationals),Cured/Discharged/Migrated,Death,Lon,Lat
1,Andaman and Nicobar Islands,11,10,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,534,20,14,79.95790576800005,15.754585607000024
3,Arunachal Pradesh,1,0,0,94.66035909400006,28.033781652000073
4,Assam,33,5,1,92.83015209500007,26.326143585000068
5,Bihar,74,29,1,85.48728000000006,25.151460000000043
6,Chandigarh,21,7,0,76.78943000000004,30.703410000000076
7,Chhattisgarh,33,17,0,82.04162083700004,21.265149260000044
8,Delhi,1578,42,32,77.21689000000003,28.634100000000046
9,Goa,7,5,0,74.05421646500008,15.362577927000075
10,Gujarat,871,64,36,71.57702777600008,22.695412103000024
11,Haryana,205,43,3,76.34013631800008,29.196461959000032
12,Himachal Pradesh,35,16,1,77.25004871100003,31.92365680000006
13,Jammu and Kashmir,300,36,4,76.31064825900006,34.64385349200006
14,Jharkhand,28,0,2,85.55996217400008,23.653965903000028
15,Karnataka,315,82,13,76.17046946700003,14.705918599000029
16,Kerala,388,218,3,76.40890634100003,10.447255617000053
17,Ladakh,17,10,0,77.50000000000006,34.50000000000006
18,Madhya Pradesh,1120,64,53,78.29754465700006,23.54300214400007
19,Maharashtra,2919,295,187,73.01582000000008,19.03681000000006
20,Manipur,2,1,0,93.88394228400006,24.731636637000065
21,Meghalaya,7,0,1,91.27961259500006,25.536524185000076
22,Mizoram,1,0,0,92.82891654100007,23.307804220000037
23,Nagaland#,0,0,0,94.47204729200007,26.059338800000035
24,Odisha,60,18,1,85.00127000000003,20.926660000000027
25,Puducherry,7,1,0,79.82470000000006,11.92993000000007
26,Punjab,186,27,13,75.41747895900005,30.843241601000045
27,Rajasthan,1023,147,3,73.84574451200007,26.586502090000067
28,Tamil Nadu,1242,118,14,78.40968946000004,11.013249830000063
29,Telengana,698,120,18,79.50000000000006,18.000000000000057
30,Tripura,2,1,0,91.74011046400005,23.746521947000076
31,Uttarakhand,37,9,0,79.20756428100003,30.15483757800007
32,Uttar Pradesh,773,68,13,80.56369184900007,26.928766474000042
32,West Bengal,231,42,7,87.98640557800007,23.797759531000054
