S. No.,Name of State / UT,Total Confirmed cases (Including foreign Nationals),Cured/Discharged/Migrated,Deaths ( more than 70% cases due to comorbidities ),Lon,Lat
1,Andaman and Nicobar Islands,33,33,0,92.78097500000007,12.472918209000056
2,Andhra Pradesh,1980,925,45,79.95790576800005,15.754585607000024
3,Arunachal Pradesh,1,1,0,94.66035909400006,28.033781652000073
4,Assam,63,34,2,92.83015209500007,26.326143585000068
5,Bihar,696,365,6,85.48728000000006,25.151460000000043
6,Chandigarh,169,24,2,76.78943000000004,30.703410000000076
7,Chhattisgarh,59,49,0,82.04162083700004,21.265149260000044
8,Dadar Nagar Haveli,1,0,0,73.04955000000007,20.280950000000075
9,Delhi,6923,2069,73,77.21689000000003,28.634100000000046
10,Goa,7,7,0,74.05421646500008,15.362577927000075
11,Gujarat,8194,2545,493,71.57702777600008,22.695412103000024
12,Haryana,703,300,10,76.34013631800008,29.196461959000032
13,Himachal Pradesh,55,39,2,77.25004871100003,31.92365680000006
14,Jammu and Kashmir,861,383,9,76.31064825900006,34.64385349200006
15,Jharkhand,157,78,3,85.55996217400008,23.653965903000028
16,Karnataka,848,424,31,76.17046946700003,14.705918599000029
17,Kerala,512,489,4,76.40890634100003,10.447255617000053
18,Ladakh,42,21,0,77.50000000000006,34.50000000000006
19,Madhya Pradesh,3614,1676,215,78.29754465700006,23.54300214400007
20,Maharashtra,22171,4199,832,73.01582000000008,19.03681000000006
21,Manipur,2,2,0,93.88394228400006,24.731636637000065
22,Meghalaya,13,10,1,91.27961259500006,25.536524185000076
23,Mizoram,1,1,0,92.82891654100007,23.307804220000037
24,Odisha,377,68,3,85.00127000000003,20.926660000000027
25,Puducherry,9,6,0,79.82470000000006,11.92993000000007
26,Punjab,1823,166,31,75.41747895900005,30.843241601000045
27,Rajasthan,3814,2176,107,73.84574451200007,26.586502090000067
28,Tamil Nadu,7204,1959,47,78.40968946000004,11.013249830000063
29,Telengana,1196,750,30,79.50000000000006,18.000000000000057
30,Tripura,150,2,0,91.74011046400005,23.746521947000076
31,Uttarakhand,68,46,1,79.20756428100003,30.15483757800007
32,Uttar Pradesh,3467,1653,74,80.56369184900007,26.928766474000042
33,West Bengal,1939,417,185,87.98640557800007,23.797759531000054
